,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXIN Index Settings Total Return Analysis,,,,,,,,,,,,,
Range12/31/1992 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 360 Month Holding Period Chart,,,,,,,,,,,,,
MSCI India Index Max Cuml Total Return 1120.1678% On 09/30/2021,,,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,,,
4/30/2014,14.1,0.0009,308.14%,460.32%,-0.77%,-0.76%,,,,,,,
,,,,,,,,,,,,,
3/31/2014,14.21,0.00806,311.30%,464.63%,8.02%,8.09%,,,,,,,
2/28/2014,13.15,0.00886,280.76%,422.39%,3.53%,3.60%,,,,,,,
1/31/2014,12.7,0.02171,267.77%,404.22%,-3.84%,-3.68%,,,,,,,
,,,,,,,,,,,,,
12/31/2013,13.21,0.00458,282.46%,423.50%,3.02%,3.06%,,,,,,,
11/29/2013,12.82,0.00225,271.25%,407.97%,-2.57%,-2.55%,,,,,,,
10/31/2013,13.16,0.01654,281.04%,421.28%,9.82%,9.96%,,,,,,,
,,,,,,,,,,,,,
9/30/2013,11.99,0.017,246.97%,374.06%,9.85%,10.01%,,,,,,,
8/30/2013,10.91,0.00747,215.87%,330.92%,-11.37%,-11.31%,,,,,,,
7/31/2013,12.31,0.03951,256.37%,385.87%,-2.92%,-2.62%,,,,,,,
,,,,,,,,,,,,,
6/28/2013,12.68,0.03562,267.09%,398.94%,-6.99%,-6.72%,,,,,,,
5/31/2013,13.63,0.04969,294.67%,434.90%,-3.96%,-3.62%,,,,,,,
4/30/2013,14.19,0.00042,310.93%,454.97%,4.89%,4.89%,,,,,,,
,,,,,,,,,,,,,
3/29/2013,13.53,0.01276,291.79%,429.10%,-0.27%,-0.17%,,,,,,,
2/28/2013,13.57,0.00971,292.84%,430.02%,-7.06%,-7.00%,,,,,,,
1/31/2013,14.6,0.00326,322.70%,469.92%,4.68%,4.71%,,,,,,,
,,,,,,,,,,,,,
12/31/2012,13.95,0.00381,303.80%,444.31%,-0.05%,-0.02%,,,,,,,
11/30/2012,13.95,0.01268,303.99%,444.41%,4.49%,4.58%,,,,,,,
10/31/2012,13.36,0.01114,286.64%,420.55%,-3.78%,-3.70%,,,,,,,
,,,,,,,,,,,,,
9/28/2012,13.88,0.00794,301.83%,440.56%,13.89%,13.96%,,,,,,,
8/31/2012,12.19,0.01599,252.84%,374.35%,1.54%,1.67%,,,,,,,
7/31/2012,12,0.03027,247.48%,366.54%,-1.38%,-1.14%,,,,,,,
,,,,,,,,,,,,,
6/29/2012,12.17,0.05141,252.35%,371.90%,7.97%,8.45%,,,,,,,
5/31/2012,11.27,0.03679,226.33%,335.13%,-12.26%,-11.98%,,,,,,,
4/30/2012,12.85,0.00068,271.95%,394.34%,-4.71%,-4.70%,,,,,,,
,,,,,,,,,,,,,
3/30/2012,13.48,0.00947,290.33%,418.74%,-5.20%,-5.13%,,,,,,,
2/29/2012,14.22,0.00472,311.74%,446.82%,4.78%,4.82%,,,,,,,
1/31/2012,13.57,0.01369,292.95%,421.69%,20.60%,20.73%,,,,,,,
,,,,,,,,,,,,,
12/30/2011,11.25,--,225.82%,332.10%,-5.91%,-5.91%,,,,,,,
11/30/2011,11.96,0.00406,246.30%,359.26%,-16.07%,-16.05%,,,,,,,
10/31/2011,14.25,0.01187,312.61%,447.03%,8.45%,8.54%,,,,,,,
,,,,,,,,,,,,,
9/30/2011,13.14,0.01098,280.46%,403.97%,-6.50%,-6.42%,,,,,,,
8/31/2011,14.06,0.02064,306.91%,438.57%,-12.54%,-12.41%,,,,,,,
7/29/2011,16.07,0.03632,365.24%,514.91%,-2.83%,-2.61%,,,,,,,
,,,,,,,,,,,,,
6/30/2011,16.54,0.066,378.78%,531.41%,1.70%,2.12%,,,,,,,
5/31/2011,16.26,0.02782,370.76%,518.28%,-4.42%,-4.25%,,,,,,,
4/29/2011,17.01,0.00795,392.53%,545.74%,-1.11%,-1.06%,,,,,,,
,,,,,,,,,,,,,
3/31/2011,17.2,0.00336,398.03%,552.66%,11.12%,11.14%,,,,,,,
2/28/2011,15.48,0.00862,348.19%,487.22%,-1.84%,-1.79%,,,,,,,
1/31/2011,15.77,0.00406,356.60%,497.91%,-13.10%,-13.07%,,,,,,,
,,,,,,,,,,,,,
12/31/2010,18.15,0.00884,425.41%,587.84%,7.58%,7.64%,,,,,,,
11/30/2010,16.87,0.00487,388.39%,539.05%,-6.54%,-6.51%,,,,,,,
10/29/2010,18.05,0.02639,422.56%,583.58%,1.52%,1.67%,,,,,,,
,,,,,,,,,,,,,
9/30/2010,17.78,0.01686,414.71%,572.35%,16.16%,16.28%,,,,,,,
8/31/2010,15.31,0.01773,343.12%,478.23%,-1.45%,-1.34%,,,,,,,
7/30/2010,15.53,0.02049,349.66%,486.10%,0.45%,0.59%,,,,,,,
,,,,,,,,,,,,,
6/30/2010,15.46,0.05753,347.64%,482.68%,3.87%,4.28%,,,,,,,
5/31/2010,14.89,0.02829,330.95%,458.78%,-8.17%,-8.00%,,,,,,,
4/30/2010,16.21,0.00976,369.30%,507.35%,1.95%,2.01%,,,,,,,
,,,,,,,,,,,,,
3/31/2010,15.9,0.00465,360.33%,495.39%,9.08%,9.11%,,,,,,,
2/26/2010,14.58,0.00456,322.03%,445.70%,1.33%,1.37%,,,,,,,
1/29/2010,14.39,0.00204,316.48%,438.33%,-5.34%,-5.33%,,,,,,,
,,,,,,,,,,,,,
12/31/2009,15.2,0.00742,339.97%,468.62%,3.53%,3.58%,,,,,,,
11/30/2009,14.68,0.00354,324.96%,448.95%,8.31%,8.34%,,,,,,,
10/30/2009,13.55,0.01991,292.34%,406.68%,-4.14%,-4.01%,,,,,,,
,,,,,,,,,,,,,
9/30/2009,14.14,0.01214,309.27%,427.83%,10.97%,11.07%,,,,,,,
8/31/2009,12.74,0.01396,268.81%,375.22%,-1.02%,-0.91%,,,,,,,
7/31/2009,12.87,0.02971,272.62%,379.59%,8.37%,8.65%,,,,,,,
,,,,,,,,,,,,,
6/30/2009,11.88,0.03568,243.83%,341.39%,-2.45%,-2.18%,,,,,,,
5/29/2009,12.18,0.003,252.48%,351.21%,36.96%,37.00%,,,,,,,
4/30/2009,8.89,0.00021,157.36%,229.34%,19.26%,19.26%,,,,,,,
,,,,,,,,,,,,,
3/31/2009,7.45,0.00069,115.80%,176.15%,12.14%,12.15%,,,,,,,
2/27/2009,6.65,0.00223,92.43%,146.22%,-10.23%,-10.20%,,,,,,,
1/30/2009,7.4,0.00757,114.36%,174.20%,-2.38%,-2.28%,,,,,,,
,,,,,,,,,,,,,
12/31/2008,7.59,0.00694,119.60%,180.60%,9.73%,9.83%,,,,,,,
11/28/2008,6.91,--,100.12%,155.48%,-10.70%,-10.70%,,,,,,,
10/31/2008,7.74,0.00915,124.09%,186.08%,-28.24%,-28.16%,,,,,,,
,,,,,,,,,,,,,
9/30/2008,10.79,0.01114,212.26%,298.19%,-18.81%,-18.74%,,,,,,,
8/29/2008,13.28,0.02671,284.60%,390.01%,-1.58%,-1.38%,,,,,,,
