,,,,,,,,,,,
,,,,,,,,,,,
MXID Index Settings Total Return Analysis,,,,,,,,,,,
Range11/29/1991 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 373 Month Holding Period Chart,,,,,,,,,,,
MSCI Indonesia Index Max Cuml Total Return 456.8318% On 04/29/2022,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
9/30/2014,0.5,--,153.88%,330.70%,-2.94%,-2.94%,,,,,
8/29/2014,0.51,0.00025,161.57%,343.74%,-1.45%,-1.40%,,,,,
7/31/2014,0.52,0.00048,165.41%,350.04%,8.08%,8.18%,,,,,
,,,,,,,,,,,
6/30/2014,0.48,0.00126,145.58%,316.02%,-1.26%,-1.00%,,,,,
5/30/2014,0.49,0.00173,148.72%,320.24%,0.07%,0.41%,,,,,
4/30/2014,0.49,0.00585,148.55%,318.52%,0.51%,1.72%,,,,,
,,,,,,,,,,,
3/31/2014,0.49,0.00093,147.28%,311.45%,4.98%,5.18%,,,,,
2/28/2014,0.46,--,135.55%,291.17%,10.19%,10.19%,,,,,
1/31/2014,0.42,--,113.76%,254.99%,4.70%,4.70%,,,,,
,,,,,,,,,,,
12/31/2013,0.4,0.00043,104.16%,239.05%,-2.84%,-2.74%,,,,,
11/29/2013,0.41,0.00023,110.13%,248.58%,-10.81%,-10.76%,,,,,
10/31/2013,0.46,0.00091,135.60%,290.63%,8.37%,8.58%,,,,,
,,,,,,,,,,,
9/30/2013,0.43,0.00017,117.40%,259.77%,0.31%,0.35%,,,,,
8/30/2013,0.43,--,116.73%,258.51%,-18.23%,-18.23%,,,,,
7/31/2013,0.52,0.00115,165.06%,338.45%,-6.84%,-6.64%,,,,,
,,,,,,,,,,,
6/28/2013,0.56,0.0006,184.52%,369.65%,-4.80%,-4.69%,,,,,
5/31/2013,0.59,0.00764,198.86%,392.75%,-5.09%,-3.90%,,,,,
4/30/2013,0.62,0.00178,214.90%,412.75%,1.77%,2.07%,,,,,
,,,,,,,,,,,
3/29/2013,0.61,0.00135,209.42%,402.38%,0.60%,0.82%,,,,,
2/28/2013,0.6,--,207.58%,398.27%,9.56%,9.56%,,,,,
1/31/2013,0.55,--,180.73%,354.78%,2.67%,2.67%,,,,,
,,,,,,,,,,,
12/31/2012,0.54,0.00063,173.42%,342.95%,1.62%,1.74%,,,,,
11/30/2012,0.53,--,169.07%,335.37%,-3.36%,-3.36%,,,,,
10/31/2012,0.55,0.00138,178.41%,350.49%,2.80%,3.06%,,,,,
,,,,,,,,,,,
9/28/2012,0.53,--,170.82%,337.10%,5.03%,5.03%,,,,,
8/31/2012,0.51,--,157.85%,316.17%,-3.68%,-3.68%,,,,,
7/31/2012,0.53,0.00128,167.69%,332.06%,5.77%,6.03%,,,,,
,,,,,,,,,,,
6/29/2012,0.5,0.00464,153.10%,307.49%,5.31%,6.32%,,,,,
5/31/2012,0.47,0.00406,140.35%,283.27%,-12.70%,-11.99%,,,,,
4/30/2012,0.54,0.00171,175.31%,335.50%,-0.68%,-0.37%,,,,,
,,,,,,,,,,,
3/30/2012,0.55,--,177.21%,337.11%,1.27%,1.27%,,,,,
2/29/2012,0.54,--,173.73%,331.63%,-1.06%,-1.06%,,,,,
1/31/2012,0.54,--,176.68%,336.27%,4.51%,4.51%,,,,,
,,,,,,,,,,,
12/30/2011,0.52,0.00062,164.74%,317.45%,2.23%,2.35%,,,,,
11/30/2011,0.51,0.00037,158.96%,307.86%,-5.53%,-5.46%,,,,,
10/31/2011,0.54,0.00101,174.11%,331.40%,8.53%,8.73%,,,,,
,,,,,,,,,,,
9/30/2011,0.5,0.00028,152.57%,296.77%,-9.84%,-9.78%,,,,,
8/31/2011,0.55,--,180.13%,339.80%,-8.24%,-8.24%,,,,,
7/29/2011,0.6,0.00302,205.27%,379.28%,6.76%,7.31%,,,,,
,,,,,,,,,,,
6/30/2011,0.56,0.00472,185.94%,346.65%,1.18%,2.06%,,,,,
5/31/2011,0.56,0.00246,182.59%,337.62%,0.24%,0.68%,,,,,
4/29/2011,0.55,0.00033,181.93%,334.66%,4.96%,5.02%,,,,,
,,,,,,,,,,,
3/31/2011,0.53,--,168.61%,313.89%,9.52%,9.52%,,,,,
2/28/2011,0.48,--,145.27%,277.92%,6.15%,6.15%,,,,,
1/31/2011,0.45,--,131.06%,256.03%,-10.25%,-10.25%,,,,,
,,,,,,,,,,,
12/31/2010,0.51,0.00063,157.45%,296.69%,4.07%,4.20%,,,,,
11/30/2010,0.49,0.00052,147.38%,280.68%,-7.21%,-7.12%,,,,,
10/29/2010,0.52,0.00115,166.60%,309.86%,2.63%,2.86%,,,,,
,,,,,,,,,,,
9/30/2010,0.51,0.00018,159.76%,298.48%,14.25%,14.29%,,,,,
8/31/2010,0.45,--,127.37%,248.67%,-3.03%,-3.03%,,,,,
7/30/2010,0.46,0.00425,134.48%,259.57%,5.38%,6.40%,,,,,
,,,,,,,,,,,
6/30/2010,0.44,0.00386,122.50%,237.94%,5.72%,6.70%,,,,,
5/31/2010,0.41,0.00043,110.47%,216.73%,-7.76%,-7.66%,,,,,
4/30/2010,0.45,0.00031,128.17%,242.99%,6.02%,6.10%,,,,,
,,,,,,,,,,,
3/31/2010,0.42,0.00018,115.21%,223.29%,12.13%,12.17%,,,,,
2/26/2010,0.38,--,91.93%,188.20%,-3.81%,-3.81%,,,,,
1/29/2010,0.39,--,99.54%,199.62%,2.39%,2.39%,,,,,
,,,,,,,,,,,
12/31/2009,0.38,0.00078,94.88%,192.63%,5.30%,5.51%,,,,,
11/30/2009,0.36,0.00056,85.08%,177.34%,3.03%,3.19%,,,,,
10/30/2009,0.35,0.00055,79.64%,168.77%,-3.83%,-3.68%,,,,,
,,,,,,,,,,,
9/30/2009,0.37,--,86.79%,179.05%,11.75%,11.75%,,,,,
8/31/2009,0.33,--,67.15%,149.71%,-0.73%,-0.73%,,,,,
7/31/2009,0.33,0.00343,68.39%,151.54%,23.05%,24.51%,,,,,
,,,,,,,,,,,
6/30/2009,0.27,0.003,36.85%,102.02%,5.58%,6.77%,,,,,
