,,,,,,,,,
,,,,,,,,,
MXAU Index Settings Total Return Analysis,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,
MSCI Australia Index Max Cuml Total Return 5776.9285% On 03/31/2022,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
1/31/2014,928.13,--,973.12%,2923.11%,-4.97%,-4.97%,,,
,,,,,,,,,
12/31/2013,976.63,1.66569,1029.20%,3081.09%,-1.68%,-1.51%,,,
11/29/2013,993.36,11.34991,1048.53%,3130.00%,-5.48%,-4.45%,,,
10/31/2013,1050.89,0.03253,1115.06%,3280.26%,5.64%,5.65%,,,
,,,,,,,,,
9/30/2013,994.75,7.11929,1050.14%,3099.55%,6.52%,7.31%,,,
8/30/2013,933.85,11.13572,979.73%,2881.51%,0.79%,1.98%,,,
7/31/2013,926.51,--,971.24%,2823.55%,3.06%,3.06%,,,
,,,,,,,,,
6/28/2013,898.99,1.79265,939.43%,2736.74%,-7.00%,-6.81%,,,
5/31/2013,966.61,10.97229,1017.61%,2943.98%,-12.57%,-11.65%,,,
4/30/2013,1105.61,0.63163,1178.33%,3345.21%,4.62%,4.68%,,,
,,,,,,,,,
3/29/2013,1056.81,7.14933,1121.90%,3191.26%,-1.13%,-0.46%,,,
2/28/2013,1068.89,10.12726,1135.87%,3206.35%,3.15%,4.14%,,,
1/31/2013,1036.23,0.07618,1098.10%,3074.94%,5.56%,5.56%,,,
,,,,,,,,,
12/31/2012,981.69,1.55384,1035.05%,2907.62%,2.88%,3.04%,,,
11/30/2012,954.23,10.97982,1003.29%,2818.86%,0.14%,1.31%,,,
10/31/2012,952.88,0.10175,1001.74%,2781.14%,2.87%,2.88%,,,
,,,,,,,,,
9/28/2012,926.31,6.24923,971.01%,2700.48%,2.06%,2.77%,,,
8/31/2012,907.57,13.05909,949.35%,2625.09%,-0.81%,0.60%,,,
7/31/2012,914.97,0.18992,957.90%,2608.79%,7.49%,7.51%,,,
,,,,,,,,,
6/29/2012,851.24,1.50106,884.22%,2419.58%,6.26%,6.45%,,,
5/31/2012,801.1,9.69139,826.25%,2266.81%,-13.40%,-12.41%,,,
4/30/2012,925.1,0.04024,969.62%,2602.21%,1.87%,1.87%,,,
,,,,,,,,,
3/30/2012,908.13,3.86916,950.00%,2552.52%,-2.70%,-2.28%,,,
2/29/2012,933.29,13.53954,979.08%,2614.50%,1.93%,3.43%,,,
1/31/2012,915.6,--,958.63%,2524.49%,8.52%,8.52%,,,
,,,,,,,,,
12/30/2011,843.73,1.25531,875.53%,2318.49%,-1.44%,-1.30%,,,
11/30/2011,856.08,10.19432,889.82%,2350.27%,-7.56%,-6.48%,,,
10/31/2011,926.06,0.13397,970.72%,2520.19%,16.83%,16.85%,,,
,,,,,,,,,
9/30/2011,792.62,6.8973,816.44%,2142.33%,-15.10%,-14.42%,,,
8/31/2011,933.55,12.00033,979.39%,2520.30%,-5.37%,-4.10%,,,
7/29/2011,986.53,--,1040.64%,2632.21%,-2.19%,-2.19%,,,
,,,,,,,,,
6/30/2011,1008.57,4.04288,1066.13%,2693.26%,-1.30%,-0.89%,,,
5/31/2011,1021.85,6.86122,1081.47%,2718.47%,-5.51%,-4.87%,,,
4/29/2011,1081.41,0.04875,1150.34%,2862.68%,5.61%,5.62%,,,
,,,,,,,,,
3/31/2011,1023.92,6.99836,1083.88%,2705.07%,1.88%,2.60%,,,
2/28/2011,1005.06,9.39245,1062.06%,2633.92%,3.71%,4.69%,,,
1/31/2011,969.06,--,1020.45%,2511.53%,-1.98%,-1.98%,,,
,,,,,,,,,
12/31/2010,988.61,1.05161,1043.05%,2564.22%,10.12%,10.24%,,,
11/30/2010,897.73,9.26693,937.97%,2316.72%,-4.11%,-3.20%,,,
10/29/2010,936.26,0.72895,982.52%,2396.60%,3.24%,3.32%,,,
,,,,,,,,,
9/30/2010,906.88,6.31224,948.55%,2316.38%,12.81%,13.63%,,,
8/31/2010,803.92,9.20764,829.50%,2026.51%,-3.76%,-2.67%,,,
7/30/2010,835.32,--,865.81%,2084.81%,11.75%,11.75%,,,
,,,,,,,,,
