,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXJP Index Settings Total Return Analysis,,,,,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,,,,,
MSCI Japan Index Max Cuml Total Return 6808.9577% On 09/30/2021,,,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,,,
12/29/2006,8.92,0.00477,3494.38%,3926.35%,2.57%,2.63%,,,,,,,
11/30/2006,8.69,0.00014,3404.33%,3823.36%,0.25%,0.25%,,,,,,,
10/31/2006,8.67,0.00016,3395.61%,3813.53%,2.08%,2.08%,,,,,,,
,,,,,,,,,,,,,
9/29/2006,8.5,0.04037,3324.49%,3733.84%,-1.94%,-1.46%,,,,,,,
8/31/2006,8.66,0.00115,3392.30%,3790.67%,1.59%,1.60%,,,,,,,
7/31/2006,8.53,0.00019,3337.72%,3729.35%,-0.59%,-0.59%,,,,,,,
,,,,,,,,,,,,,
6/30/2006,8.58,0.00307,3358.16%,3752.03%,-1.05%,-1.01%,,,,,,,
5/31/2006,8.67,0.00016,3394.85%,3791.44%,-6.78%,-6.77%,,,,,,,
4/28/2006,9.3,0.00012,3648.88%,4074.23%,2.81%,2.81%,,,,,,,
,,,,,,,,,,,,,
3/31/2006,9.05,0.05203,3546.59%,3960.28%,2.44%,3.04%,,,,,,,
2/28/2006,8.83,0.00169,3459.74%,3840.46%,-1.04%,-1.02%,,,,,,,
1/31/2006,8.92,0.00014,3497.09%,3881.02%,5.18%,5.18%,,,,,,,
,,,,,,,,,,,,,
12/30/2005,8.48,0.00348,3319.97%,3684.93%,8.69%,8.73%,,,,,,,
11/30/2005,7.81,0.00009,3046.56%,3380.92%,4.20%,4.20%,,,,,,,
10/31/2005,7.49,0.00011,2919.76%,3240.60%,-1.05%,-1.05%,,,,,,,
,,,,,,,,,,,,,
9/30/2005,7.57,0.03373,2951.86%,3276.06%,9.22%,9.72%,,,,,,,
8/31/2005,6.93,0.00112,2694.23%,2976.96%,7.56%,7.58%,,,,,,,
7/29/2005,6.44,0.00018,2497.76%,2760.14%,0.92%,0.92%,,,,,,,
,,,,,,,,,,,,,
6/30/2005,6.39,0.00231,2474.13%,2734.05%,0.00%,0.03%,,,,,,,
5/31/2005,6.39,0.00013,2474.25%,2733.16%,-1.30%,-1.30%,,,,,,,
4/29/2005,6.47,0.00004,2508.11%,2770.37%,-2.22%,-2.22%,,,,,,,
,,,,,,,,,,,,,
3/31/2005,6.62,0.04495,2567.43%,2835.63%,-2.65%,-2.00%,,,,,,,
2/28/2005,6.8,0.00151,2640.13%,2895.49%,1.96%,1.98%,,,,,,,
1/31/2005,6.67,0.00015,2587.42%,2837.20%,-2.39%,-2.39%,,,,,,,
,,,,,,,,,,,,,
12/31/2004,6.83,0.0029,2653.35%,2909.19%,5.35%,5.40%,,,,,,,
11/30/2004,6.48,0.00019,2513.53%,2755.14%,4.29%,4.29%,,,,,,,
10/29/2004,6.22,0.00002,2406.00%,2637.59%,2.47%,2.47%,,,,,,,
,,,,,,,,,,,,,
9/30/2004,6.07,0.02498,2345.68%,2571.69%,-3.13%,-2.72%,,,,,,,
8/31/2004,6.26,0.00097,2424.71%,2646.48%,1.53%,1.55%,,,,,,,
7/30/2004,6.17,0.00014,2386.59%,2604.59%,-5.74%,-5.74%,,,,,,,
,,,,,,,,,,,,,
6/30/2004,6.54,0.00184,2538.01%,2769.22%,4.09%,4.11%,,,,,,,
5/31/2004,6.29,0.00022,2434.47%,2655.83%,-2.56%,-2.56%,,,,,,,
4/30/2004,6.45,0.00003,2501.05%,2728.13%,-5.36%,-5.36%,,,,,,,
,,,,,,,,,,,,,
3/31/2004,6.82,0.03546,2648.27%,2888.19%,12.74%,13.33%,,,,,,,
2/27/2004,6.05,0.0013,2337.75%,2536.67%,-0.30%,-0.27%,,,,,,,
1/30/2004,6.07,0.00016,2345.00%,2543.93%,2.13%,2.13%,,,,,,,
,,,,,,,,,,,,,
12/31/2003,5.94,0.00251,2294.00%,2488.72%,6.59%,6.64%,,,,,,,
11/28/2003,5.57,0.0002,2145.90%,2327.52%,-3.02%,-3.02%,,,,,,,
10/31/2003,5.75,0.00002,2215.91%,2403.09%,4.38%,4.38%,,,,,,,
,,,,,,,,,,,,,
9/30/2003,5.5,0.02094,2118.70%,2298.02%,5.62%,6.02%,,,,,,,
8/29/2003,5.21,0.00077,2000.69%,2161.85%,10.58%,10.60%,,,,,,,
7/31/2003,4.71,0.00014,1799.62%,1945.06%,4.09%,4.09%,,,,,,,
,,,,,,,,,,,,,
6/30/2003,4.53,0.00128,1724.98%,1864.64%,7.20%,7.23%,,,,,,,
