,,,,,,,,,
,,,,,,,,,
MXUS Index Settings Total Return Analysis,,,,,,,,,
Range12/31/1969 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 636 Month Holding Period Chart,,,,,,,,,
MSCI USA Price Return USD Index Max Cuml Total Return 7537.8452% On 12/31/2021,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
2/28/1994,436.2,--,336.20%,336.20%,-3.03%,-3.03%,,,
1/31/1994,449.82,--,349.82%,349.82%,3.41%,3.41%,,,
,,,,,,,,,
12/31/1993,434.98,--,334.98%,334.98%,0.98%,0.98%,,,
11/30/1993,430.75,--,330.75%,330.75%,-0.90%,-0.90%,,,
10/29/1993,434.66,--,334.66%,334.66%,1.53%,1.53%,,,
,,,,,,,,,
9/30/1993,428.11,--,328.11%,328.11%,-1.21%,-1.21%,,,
8/31/1993,433.35,--,333.35%,333.35%,3.38%,3.38%,,,
7/30/1993,419.19,--,319.19%,319.19%,-0.34%,-0.34%,,,
,,,,,,,,,
6/30/1993,420.62,--,320.62%,320.62%,0.08%,0.08%,,,
5/31/1993,420.29,--,320.29%,320.29%,2.32%,2.32%,,,
4/30/1993,410.77,--,310.77%,310.77%,-2.44%,-2.44%,,,
,,,,,,,,,
3/31/1993,421.03,--,321.03%,321.03%,1.83%,1.83%,,,
2/26/1993,413.48,--,313.48%,313.48%,1.08%,1.08%,,,
1/29/1993,409.07,--,309.07%,309.07%,0.64%,0.64%,,,
,,,,,,,,,
12/31/1992,406.46,--,306.46%,306.46%,0.86%,0.86%,,,
11/30/1992,403,--,303.00%,303.00%,3.07%,3.07%,,,
10/30/1992,390.98,--,290.98%,290.98%,0.36%,0.36%,,,
,,,,,,,,,
9/30/1992,389.59,--,289.59%,289.59%,0.83%,0.83%,,,
8/31/1992,386.37,--,286.37%,286.37%,-2.64%,-2.64%,,,
7/31/1992,396.86,--,296.86%,296.86%,3.91%,3.91%,,,
,,,,,,,,,
6/30/1992,381.91,--,281.91%,281.91%,-1.78%,-1.78%,,,
5/29/1992,388.82,--,288.82%,288.82%,0.16%,0.16%,,,
4/30/1992,388.2,--,288.20%,288.20%,2.67%,2.67%,,,
,,,,,,,,,
3/31/1992,378.11,--,278.11%,278.11%,-2.09%,-2.09%,,,
2/28/1992,386.19,--,286.19%,286.19%,0.90%,0.90%,,,
1/31/1992,382.76,--,282.76%,282.76%,-1.91%,-1.91%,,,
,,,,,,,,,
12/31/1991,390.22,--,290.22%,290.22%,11.15%,11.15%,,,
11/29/1991,351.07,--,251.07%,251.07%,-4.30%,-4.30%,,,
10/31/1991,366.84,--,266.84%,266.84%,1.46%,1.46%,,,
,,,,,,,,,
9/30/1991,361.55,--,261.55%,261.55%,-1.95%,-1.95%,,,
8/30/1991,368.75,--,268.75%,268.75%,2.16%,2.16%,,,
7/31/1991,360.94,--,260.94%,260.94%,4.41%,4.41%,,,
,,,,,,,,,
6/28/1991,345.68,--,245.68%,245.68%,-4.84%,-4.84%,,,
5/31/1991,363.25,--,263.25%,263.25%,3.89%,3.89%,,,
4/30/1991,349.64,--,249.64%,249.64%,0.13%,0.13%,,,
,,,,,,,,,
3/29/1991,349.2,--,249.20%,249.20%,2.17%,2.17%,,,
2/28/1991,341.79,--,241.79%,241.79%,6.63%,6.63%,,,
1/31/1991,320.55,--,220.55%,220.55%,4.46%,4.46%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MXUS Index Settings Total Return Analysis,,,,,,,,,
Range12/31/1969 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 636 Month Holding Period Chart,,,,,,,,,
MSCI USA Price Return USD Index Max Cuml Total Return 7537.8452% On 12/31/2021,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return
12/31/1990,306.85,--,206.85%,206.85%,2.47%,2.47%,,,
11/30/1990,299.46,--,199.46%,199.46%,6.24%,6.24%,,,
10/31/1990,281.87,--,181.87%,181.87%,-0.63%,-0.63%,,,
,,,,,,,,,
9/28/1990,283.67,--,183.67%,183.67%,-4.95%,-4.95%,,,
8/31/1990,298.43,--,198.43%,198.43%,-9.43%,-9.43%,,,
7/31/1990,329.49,--,229.49%,229.49%,-0.43%,-0.43%,,,
,,,,,,,,,
