,,,,,,,,,,,
,,,,,,,,,,,
MXKR Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,,,
MSCI Korea Index Max Cuml Total Return 1013.0947% On 06/30/2021,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
4/29/2016,0.47,--,270.95%,415.88%,-1.16%,-1.16%,,,,,
,,,,,,,,,,,
3/31/2016,0.47,0.00001,275.30%,421.93%,14.27%,14.27%,,,,,
2/29/2016,0.41,--,228.43%,356.73%,-1.52%,-1.52%,,,,,
1/29/2016,0.42,--,233.49%,363.78%,-6.30%,-6.30%,,,,,
,,,,,,,,,,,
12/31/2015,0.45,0.00765,255.91%,394.95%,-3.23%,-1.58%,,,,,
11/30/2015,0.46,--,267.78%,402.92%,-3.45%,-3.45%,,,,,
10/30/2015,0.48,--,280.91%,420.88%,11.13%,11.13%,,,,,
,,,,,,,,,,,
9/30/2015,0.43,--,242.75%,368.70%,1.71%,1.71%,,,,,
8/31/2015,0.42,--,236.98%,360.81%,-6.39%,-6.39%,,,,,
7/31/2015,0.45,--,259.97%,392.25%,-7.26%,-7.26%,,,,,
,,,,,,,,,,,
6/30/2015,0.49,0.00052,288.16%,430.80%,-4.03%,-3.93%,,,,,
5/29/2015,0.51,--,304.46%,452.50%,-5.66%,-5.66%,,,,,
4/30/2015,0.54,--,328.75%,485.68%,6.04%,6.04%,,,,,
,,,,,,,,,,,
3/31/2015,0.51,--,304.31%,452.30%,1.64%,1.64%,,,,,
2/27/2015,0.5,--,297.81%,443.41%,1.09%,1.09%,,,,,
1/30/2015,0.49,--,293.52%,437.55%,1.06%,1.06%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MXKR Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,,,
MSCI Korea Index Max Cuml Total Return 1013.0947% On 06/30/2021,,,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return,,Period Appr
12/31/2014,0.49,0.00692,289.40%,431.92%,-2.52%,-1.14%,,,,,
11/28/2014,0.5,--,299.44%,438.08%,-2.52%,-2.52%,,,,,
10/31/2014,0.51,--,309.79%,452.01%,-3.39%,-3.39%,,,,,
,,,,,,,,,,,
9/30/2014,0.53,--,324.17%,471.38%,-8.31%,-8.31%,,,,,
8/29/2014,0.58,--,362.59%,523.14%,-0.56%,-0.56%,,,,,
7/31/2014,0.58,--,365.21%,526.66%,1.37%,1.37%,,,,,
,,,,,,,,,,,
