Date,Korea_Rep._of_GDP_Growth
1991-04,0.11097758274483416
1991-05,0.11097758274483416
1991-06,0.11097758274483416
1991-07,0.09927266328670208
1991-08,0.09927266328670208
1991-09,0.09927266328670208
1991-10,0.10433958192806499
1991-11,0.10433958192806499
1991-12,0.10433958192806499
1992-01,0.08337277340980068
1992-02,0.08337277340980068
1992-03,0.08337277340980068
1992-04,0.07314468250650596
1992-05,0.07314468250650596
1992-06,0.07314468250650596
1992-07,0.05131652404848493
1992-08,0.05131652404848493
1992-09,0.05131652404848493
1992-10,0.0416458323396962
1992-11,0.0416458323396962
1992-12,0.0416458323396962
1993-01,0.043797738915653
1993-02,0.043797738915653
1993-03,0.043797738915653
1993-04,0.06311478977998539
1993-05,0.06311478977998539
1993-06,0.06311478977998539
1993-07,0.08198357868303949
1993-08,0.08198357868303949
1993-09,0.08198357868303949
1993-10,0.0857441426804276
1993-11,0.0857441426804276
1993-12,0.0857441426804276
1994-01,0.09560400570588619
1994-02,0.09560400570588619
1994-03,0.09560400570588619
1994-04,0.08562978923483788
1994-05,0.08562978923483788
1994-06,0.08562978923483788
1994-07,0.0839084053285345
1994-08,0.0839084053285345
1994-09,0.0839084053285345
1994-10,0.10535791900169979
1994-11,0.10535791900169979
1994-12,0.10535791900169979
1995-01,0.09648249708207594
1995-02,0.09648249708207594
1995-03,0.09648249708207594
1995-04,0.10069263579426811
1995-05,0.10069263579426811
1995-06,0.10069263579426811
1995-07,0.10495409041984066
1995-08,0.10495409041984066
1995-09,0.10495409041984066
1995-10,0.0830540639995471
1995-11,0.0830540639995471
1995-12,0.0830540639995471
1996-01,0.08111951085141703
1996-02,0.08111951085141703
1996-03,0.08111951085141703
1996-04,0.0811017913976754
1996-05,0.0811017913976754
1996-06,0.0811017913976754
1996-07,0.07774501150356683
1996-08,0.07774501150356683
1996-09,0.07774501150356683
1996-10,0.07585155589948654
1996-11,0.07585155589948654
1996-12,0.07585155589948654
1997-01,0.060648618692738236
1997-02,0.060648618692738236
1997-03,0.060648618692738236
1997-04,0.07655936707760863
1997-05,0.07655936707760863
1997-06,0.07655936707760863
1997-07,0.06632700463522134
1997-08,0.06632700463522134
1997-09,0.06632700463522134
1997-10,0.04380777853180146
1997-11,0.04380777853180146
1997-12,0.04380777853180146
1998-01,-0.03189063544728576
1998-02,-0.03189063544728576
1998-03,-0.03189063544728576
1998-04,-0.0726387519708582
1998-05,-0.0726387519708582
1998-06,-0.0726387519708582
1998-07,-0.0638482718399074
1998-08,-0.0638482718399074
1998-09,-0.0638482718399074
1998-10,-0.03608606539751894
1998-11,-0.03608606539751894
1998-12,-0.03608606539751894
1999-01,0.06583397538956388
1999-02,0.06583397538956388
1999-03,0.06583397538956388
1999-04,0.12161310752499235
1999-05,0.12161310752499235
1999-06,0.12161310752499235
1999-07,0.13301165228534675
1999-08,0.13301165228534675
1999-09,0.13301165228534675
1999-10,0.13732506181853302
1999-11,0.13732506181853302
1999-12,0.13732506181853302
2000-01,0.12474605040886648
2000-02,0.12474605040886648
2000-03,0.12474605040886648
2000-04,0.09187473676556067
2000-05,0.09187473676556067
2000-06,0.09187473676556067
2000-07,0.09159237156792731
2000-08,0.09159237156792731
2000-09,0.09159237156792731
2000-10,0.057527664054059416
2000-11,0.057527664054059416
2000-12,0.057527664054059416
2001-01,0.0505792252508421
2001-02,0.0505792252508421
2001-03,0.0505792252508421
2001-04,0.05023056984744442
2001-05,0.05023056984744442
2001-06,0.05023056984744442
2001-07,0.03587655198483108
2001-08,0.03587655198483108
2001-09,0.03587655198483108
2001-10,0.057566119648153224
2001-11,0.057566119648153224
2001-12,0.057566119648153224
2002-01,0.07134576542281104
2002-02,0.07134576542281104
2002-03,0.07134576542281104
2002-04,0.07677398844004438
2002-05,0.07677398844004438
2002-06,0.07677398844004438
2002-07,0.08390946792374868
2002-08,0.08390946792374868
2002-09,0.08390946792374868
2002-10,0.07682385050190603
2002-11,0.07682385050190603
2002-12,0.07682385050190603
2003-01,0.04318227912486962
2003-02,0.04318227912486962
2003-03,0.04318227912486962
2003-04,0.023035458503685293
2003-05,0.023035458503685293
2003-06,0.023035458503685293
2003-07,0.02214156234539706
2003-08,0.02214156234539706
2003-09,0.02214156234539706
2003-10,0.03773317381570809
2003-11,0.03773317381570809
2003-12,0.03773317381570809
2004-01,0.05772676581287975
2004-02,0.05772676581287975
2004-03,0.05772676581287975
2004-04,0.06744794051161035
2004-05,0.06744794051161035
2004-06,0.06744794051161035
2004-07,0.05145618814104666
2004-08,0.05145618814104666
2004-09,0.05145618814104666
2004-10,0.03218131462333826
2004-11,0.03218131462333826
2004-12,0.03218131462333826
2005-01,0.028064026725213166
2005-02,0.028064026725213166
2005-03,0.028064026725213166
2005-04,0.03952745560395452
2005-05,0.03952745560395452
2005-06,0.03952745560395452
2005-07,0.05091342446850732
2005-08,0.05091342446850732
2005-09,0.05091342446850732
2005-10,0.05356820231637191
2005-11,0.05356820231637191
2005-12,0.05356820231637191
2006-01,0.06180250598542497
2006-02,0.06180250598542497
2006-03,0.06180250598542497
2006-04,0.0497506028635234
2006-05,0.0497506028635234
2006-06,0.0497506028635234
2006-07,0.05087397409789045
2006-08,0.05087397409789045
2006-09,0.05087397409789045
2006-10,0.0484488661329943
2006-11,0.0484488661329943
2006-12,0.0484488661329943
2007-01,0.048809146757861625
2007-02,0.048809146757861625
2007-03,0.048809146757861625
2007-04,0.05921792786505942
2007-05,0.05921792786505942
2007-06,0.05921792786505942
2007-07,0.05463010624161751
2007-08,0.05463010624161751
2007-09,0.05463010624161751
2007-10,0.06904624178232996
2007-11,0.06904624178232996
2007-12,0.06904624178232996
2008-01,0.055675559792956325
2008-02,0.055675559792956325
2008-03,0.055675559792956325
2008-04,0.04315216972662788
2008-05,0.04315216972662788
2008-06,0.04315216972662788
2008-07,0.03946152422466285
2008-08,0.03946152422466285
2008-09,0.03946152422466285
2008-10,-0.015899777564896092
2008-11,-0.015899777564896092
2008-12,-0.015899777564896092
2009-01,-0.01896186504607697
2009-02,-0.01896186504607697
2009-03,-0.01896186504607697
2009-04,-0.011063623112186945
2009-05,-0.011063623112186945
2009-06,-0.011063623112186945
2009-07,0.0102892678621833
2009-08,0.0102892678621833
2009-09,0.0102892678621833
2009-10,0.0523942532872245
2009-11,0.0523942532872245
2009-12,0.0523942532872245
2010-01,0.07204676455932923
2010-02,0.07204676455932923
2010-03,0.07204676455932923
2010-04,0.07804557337947877
2010-05,0.07804557337947877
2010-06,0.07804557337947877
2010-07,0.05881250359184287
2010-08,0.05881250359184287
2010-09,0.05881250359184287
2010-10,0.06377779149420774
2010-11,0.06377779149420774
2010-12,0.06377779149420774
2011-01,0.0530737068190119
2011-02,0.0530737068190119
2011-03,0.0530737068190119
2011-04,0.03851242512951085
2011-05,0.03851242512951085
2011-06,0.03851242512951085
2011-07,0.032055896157222694
2011-08,0.032055896157222694
2011-09,0.032055896157222694
2011-10,0.024439098597870242
2011-11,0.024439098597870242
2011-12,0.024439098597870242
2012-01,0.023754352726037292
2012-02,0.023754352726037292
2012-03,0.023754352726037292
2012-04,0.024520288525016844
2012-05,0.024520288525016844
2012-06,0.024520288525016844
2012-07,0.023760541211728266
2012-08,0.023760541211728266
2012-09,0.023760541211728266
2012-10,0.024065722860195312
2012-11,0.024065722860195312
2012-12,0.024065722860195312
2013-01,0.024002358959428507
2013-02,0.024002358959428507
2013-03,0.024002358959428507
2013-04,0.030113611103466234
2013-05,0.030113611103466234
2013-06,0.030113611103466234
2013-07,0.03426039693060564
2013-08,0.03426039693060564
2013-09,0.03426039693060564
2013-10,0.03809548274400504
2013-11,0.03809548274400504
2013-12,0.03809548274400504
2014-01,0.03806480619993866
2014-02,0.03806480619993866
2014-03,0.03806480619993866
2014-04,0.03504244279798009
2014-05,0.03504244279798009
2014-06,0.03504244279798009
2014-07,0.029534551645475342
2014-08,0.029534551645475342
2014-09,0.029534551645475342
2014-10,0.025657982282776146
2014-11,0.025657982282776146
2014-12,0.025657982282776146
2015-01,0.024693778173346902
2015-02,0.024693778173346902
2015-03,0.024693778173346902
2015-04,0.020778052642068532
2015-05,0.020778052642068532
2015-06,0.020778052642068532
2015-07,0.03239665209442024
2015-08,0.03239665209442024
2015-09,0.03239665209442024
2015-10,0.03440104127558721
2015-11,0.03440104127558721
2015-12,0.03440104127558721
2016-01,0.02938103701112029
2016-02,0.02938103701112029
2016-03,0.02938103701112029
2016-04,0.03702682495395445
2016-05,0.03702682495395445
2016-06,0.03702682495395445
2016-07,0.026262708564239283
2016-08,0.026262708564239283
2016-09,0.026262708564239283
2016-10,0.025340364178484967
2016-11,0.025340364178484967
2016-12,0.025340364178484967
2017-01,0.032550613783430896
2017-02,0.032550613783430896
2017-03,0.032550613783430896
2017-04,0.027726234907004783
2017-05,0.027726234907004783
2017-06,0.027726234907004783
2017-07,0.03782633650798395
2017-08,0.03782633650798395
2017-09,0.03782633650798395
2017-10,0.028301720368009643
2017-11,0.028301720368009643
2017-12,0.028301720368009643
2018-01,0.0311116249999138
2018-02,0.0311116249999138
2018-03,0.0311116249999138
2018-04,0.030382277145683447
2018-05,0.030382277145683447
2018-06,0.030382277145683447
2018-07,0.02247361656859692
2018-08,0.02247361656859692
2018-09,0.02247361656859692
2018-10,0.032400347082081664
2018-11,0.032400347082081664
2018-12,0.032400347082081664
2019-01,0.018926947586897225
2019-02,0.018926947586897225
2019-03,0.018926947586897225
2019-04,0.02301766837810006
2019-05,0.02301766837810006
2019-06,0.02301766837810006
2019-07,0.020970486576815682
2019-08,0.020970486576815682
2019-09,0.020970486576815682
2019-10,0.02677446184766001
2019-11,0.02677446184766001
2019-12,0.02677446184766001
2020-01,0.014357247346797318
2020-02,0.014357247346797318
2020-03,0.014357247346797318
2020-04,-0.026861692572535206
2020-05,-0.026861692572535206
2020-06,-0.026861692572535206
2020-07,-0.008452171678985161
2020-08,-0.008452171678985161
2020-09,-0.008452171678985161
2020-10,-0.007181114072453806
2020-11,-0.007181114072453806
2020-12,-0.007181114072453806
2021-01,0.023624640702792455
2021-02,0.023624640702792455
2021-03,0.023624640702792455
2021-04,0.0647465390130135
2021-05,0.0647465390130135
2021-06,0.0647465390130135
2021-07,0.04197985358296556
2021-08,0.04197985358296556
2021-09,0.04197985358296556
2021-10,0.042487632296623265
2021-11,0.042487632296623265
2021-12,0.042487632296623265
2022-01,0.03095079905623263
2022-02,0.03095079905623263
2022-03,0.03095079905623263
2022-04,0.02962012175571363
2022-05,0.02962012175571363
2022-06,0.02962012175571363
2022-07,0.030715257556723143
2022-08,0.030715257556723143
2022-09,0.030715257556723143
2022-10,0.01345043665826756
2022-11,0.01345043665826756
2022-12,0.01345043665826756
