Security,USDSAR BGN Curncy
Start Date,12/30/1988 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
10/31/2002,3.7504
9/30/2002,3.7506
8/30/2002,3.7504
7/31/2002,3.7504
6/28/2002,3.7504
5/31/2002,3.7503
4/30/2002,3.7502
3/29/2002,3.7502
2/28/2002,3.7504
1/31/2002,3.7502
12/31/2001,3.7503
11/30/2001,3.7503
10/31/2001,3.7501
9/28/2001,3.7508
8/31/2001,3.7504
7/31/2001,3.7505
6/29/2001,3.7504
5/31/2001,3.7504
4/30/2001,3.7504
3/30/2001,3.7505
2/28/2001,3.7504
1/31/2001,3.7507
12/29/2000,3.7508
11/30/2000,3.7509
10/31/2000,3.751
9/29/2000,3.7507
8/31/2000,3.7506
7/31/2000,3.7507
6/30/2000,3.7506
5/31/2000,3.7506
4/28/2000,3.7507
3/31/2000,3.7506
2/29/2000,3.7505
1/31/2000,3.7505
12/31/1999,3.7503
11/30/1999,3.7505
10/29/1999,3.7505
9/30/1999,3.7503
8/31/1999,3.7504
7/30/1999,3.7504
6/30/1999,3.7505
5/31/1999,3.7503
4/30/1999,3.7505
3/31/1999,3.7503
2/26/1999,3.752
1/29/1999,3.755
12/31/1998,3.751
11/30/1998,3.7505
10/30/1998,3.755
9/30/1998,3.7507
8/31/1998,3.7531
7/31/1998,3.7507
6/30/1998,3.7508
5/29/1998,3.7509
4/30/1998,3.7504
3/31/1998,3.7503
2/27/1998,3.7508
1/30/1998,3.7506
12/31/1997,3.7505
11/28/1997,3.7505
10/31/1997,3.7514
9/30/1997,3.7505
8/29/1997,3.7505
7/31/1997,3.7505
6/30/1997,3.7506
5/30/1997,3.7505
4/30/1997,3.7505
3/31/1997,3.7505
2/28/1997,3.7503
1/31/1997,3.7508
12/31/1996,3.7505
11/29/1996,3.7505
10/31/1996,3.7505
9/30/1996,3.7503
8/30/1996,3.7505
7/31/1996,3.7505
6/28/1996,3.7505
5/31/1996,3.7505
4/30/1996,3.7505
3/29/1996,3.7505
2/29/1996,3.7505
1/31/1996,3.7505
12/29/1995,3.7505
11/30/1995,3.7505
10/31/1995,3.7505
9/29/1995,3.7505
8/31/1995,3.7509
7/31/1995,3.7505
6/30/1995,3.7505
5/31/1995,3.7505
4/28/1995,3.75
3/31/1995,3.7505
2/28/1995,3.7505
1/31/1995,3.7505
12/30/1994,3.751
11/30/1994,3.75
10/31/1994,3.7512
9/30/1994,3.751
8/31/1994,3.75
7/29/1994,3.7525
6/30/1994,3.7508
5/31/1994,3.7525
4/29/1994,3.7504
3/31/1994,3.7548
2/28/1994,3.7558
1/31/1994,3.7535
12/31/1993,3.7606
11/30/1993,3.754
10/29/1993,3.7538
9/30/1993,3.7525
8/31/1993,3.7541
7/30/1993,3.75
6/30/1993,3.7505
5/31/1993,3.7513
4/30/1993,3.7529
3/31/1993,3.752
2/26/1993,3.752
1/29/1993,3.752
12/31/1992,3.752
11/30/1992,3.752
10/30/1992,3.7529
9/30/1992,3.7489
8/31/1992,3.752
7/31/1992,3.7492
6/30/1992,3.752
5/29/1992,3.751
4/30/1992,3.7457
3/31/1992,3.7505
2/28/1992,3.7505
1/31/1992,3.7505
12/31/1991,3.7525
11/29/1991,3.75
10/31/1991,3.7502
9/30/1991,3.7489
8/30/1991,3.751
7/31/1991,3.7496
6/28/1991,3.751
5/31/1991,3.751
4/30/1991,3.751
3/29/1991,3.7515
2/28/1991,3.754
1/31/1991,3.752
12/31/1990,3.7525
11/30/1990,3.753
8/31/1990,3.75
7/31/1990,3.752
6/29/1990,3.7525
5/31/1990,3.7501
4/30/1990,3.752
3/30/1990,3.752
2/28/1990,3.752
1/31/1990,3.7487
12/29/1989,3.752
11/30/1989,3.7501
10/31/1989,3.7511
9/29/1989,3.751
8/31/1989,3.751
7/31/1989,3.7505
6/30/1989,3.75
5/31/1989,3.7513
4/28/1989,3.749
3/31/1989,3.7511
2/28/1989,3.752
1/31/1989,3.752
12/30/1988,3.752
