Date,USDTRY
2014-01,-0.047994682029691926
2014-02,0.022845745886405755
2014-03,0.03055075442612254
2014-04,0.013349112426035425
2014-05,0.007487600152613405
2014-06,-0.01024309653056421
2014-07,-0.010878700158744814
2014-08,-0.009801202034211753
2014-09,-0.05056623650250214
2014-10,0.024877412389221254
2014-11,0.0012612044502500197
2014-12,-0.04920770877944325
2015-01,-0.04369906212884467
2015-02,-0.026513037237859916
2015-03,-0.034379210779595826
2015-04,-0.028063610851262744
2015-05,0.0036050921927219814
2015-06,-0.006973448687350725
2015-07,-0.03219286848563585
2015-08,-0.049435658170091656
2015-09,-0.036587784241142285
2015-10,0.03794168096054884
2015-11,0.00041183334477312705
2015-12,-0.0011655011655010705
2016-01,-0.012725057533504947
2016-02,-0.0036753548909195244
2016-03,0.052674546551662926
2016-04,0.007798247182972506
2016-05,-0.052180104428019125
2016-06,0.02491573131320135
2016-07,-0.03717210920770864
2016-08,0.01044660062882441
2016-09,-0.014000466682222767
2016-10,-0.03041370394311571
2016-11,-0.09992727272727286
2016-12,-0.02440754931176381
2017-01,-0.06620199825086803
2017-02,0.03485820854588351
2017-03,0.002722547644583573
2017-04,0.023819579356364695
2017-05,0.006746222965503312
2017-06,0.0020450478598006416
2017-07,0.0003978063819509714
2017-08,0.0192302122853254
2017-09,-0.030982516206886856
2017-10,-0.060187260978504464
2017-11,-0.03278061224489803
2017-12,0.032067821599705004
2018-01,0.011396921765990387
2018-02,-0.011528742893240795
2018-03,-0.039466032917857
2018-04,-0.02629181950222792
2018-05,-0.10263547396558192
2018-06,-0.014413551350998421
2018-07,-0.06534391534391526
2018-08,-0.24857789467245706
2018-09,0.07987252101256614
2018-10,0.08472299342635536
2018-11,0.0704849193718482
2018-12,-0.014009150376224078
2019-01,0.024164504511482
2019-02,-0.03230279183061635
2019-03,-0.04195163982982397
2019-04,-0.06627445064615067
2019-05,0.021749927214810505
2019-06,0.007836097830401956
2019-07,0.037795332007809934
2019-08,-0.042812564296001665
2019-09,0.03221010901883048
2019-10,-0.011061327359283002
2019-11,-0.006399554813578234
2019-12,-0.033724857589353285
2020-01,-0.005315148172291062
2020-02,-0.042260961436872746
2020-03,-0.05567480952956816
2020-04,-0.053172456238281374
2020-05,0.023842321219226248
2020-06,-0.004217192721329699
2020-07,-0.017153101470060883
2020-08,-0.05062429366992083
2020-09,-0.04813561958085477
2020-10,-0.0753993457081571
2020-11,0.06664536332843363
2020-12,0.05148916724907249
2021-01,0.018186794389326133
2021-02,-0.016129683734331213
2021-03,-0.09992850131484876
2021-04,-0.005171914934657962
2021-05,-0.02319885065592675
2021-06,-0.024782948229133184
2021-07,0.03000981795384372
2021-08,0.016350280719893195
2021-09,-0.06470039243025649
2021-10,-0.07427994462313547
2021-11,-0.28719504956372055
2021-12,0.013048707155742578
2022-01,-1.5032846770179908e-05
2022-02,-0.039095735076378424
2022-03,-0.056357514789673324
2022-04,-0.012232312964097547
2022-05,-0.09448305291392334
2022-06,-0.017636314639039252
2022-07,-0.06814326212638677
2022-08,-0.01512520060676692
2022-09,-0.018020692223415513
2022-10,-0.004550485134365401
2022-11,-0.00010206657964162424
2022-12,-0.005061464457509435
2023-01,-0.005575368457977459
2023-02,-0.0036433537918945103
2023-03,-0.015463783152505295
2023-04,-0.013942369483073369
2023-05,-0.06312012330218675
2023-06,-0.20190662899536804
2023-07,-0.03409238583580543
2023-08,0.008836265020526701
2023-09,-0.02645657001783208
