BCOMCCTR Index Settings Total Return Analysis,,,,,,
Range01/29/1960 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 755 Month Holding Period Chart,,,,,,
Bloomberg Cocoa Subindex Total Return Max Cuml Total Return 3065.9677% On 11/30/1978,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/29/1995,56.8,--,469.01%,458.68%,-3.41%,-3.41%
11/30/1995,58.81,--,489.08%,478.39%,-2.03%,-2.03%
10/31/1995,60.02,--,501.29%,490.38%,1.87%,1.87%
,,,,,,
9/29/1995,58.92,--,490.24%,479.53%,-2.80%,-2.80%
8/31/1995,60.62,--,507.24%,496.22%,5.82%,5.82%
7/31/1995,57.28,--,473.83%,463.42%,-3.66%,-3.66%
,,,,,,
6/30/1995,59.46,--,495.62%,484.81%,-7.19%,-7.19%
5/31/1995,64.06,--,541.76%,530.12%,-2.76%,-2.76%
4/28/1995,65.88,--,559.96%,547.98%,6.43%,6.43%
,,,,,,
3/31/1995,61.9,--,520.09%,508.84%,-7.88%,-7.88%
2/28/1995,67.2,--,573.14%,560.92%,2.89%,2.89%
1/31/1995,65.31,--,554.21%,542.34%,7.03%,7.03%
,,,,,,
12/30/1994,61.02,--,511.26%,500.17%,4.73%,4.73%
11/30/1994,58.27,--,483.67%,473.08%,-10.01%,-10.01%
10/31/1994,64.75,--,548.61%,536.84%,0.95%,0.95%
,,,,,,
9/30/1994,64.14,--,542.51%,530.85%,-2.35%,-2.35%
8/31/1994,65.68,--,557.96%,546.02%,-11.77%,-11.77%
7/29/1994,74.44,--,645.71%,632.17%,14.57%,14.57%
,,,,,,
6/30/1994,64.97,--,550.87%,539.06%,-7.63%,-7.63%
5/31/1994,70.34,--,604.62%,591.83%,23.49%,23.49%
4/29/1994,56.96,--,470.58%,460.22%,-3.44%,-3.44%
,,,,,,
3/31/1994,58.99,--,490.90%,480.18%,1.09%,1.09%
2/28/1994,58.35,--,484.51%,473.90%,1.99%,1.99%
1/31/1994,57.21,--,473.13%,462.73%,-5.06%,-5.06%
,,,,,,
12/31/1993,60.26,--,503.70%,492.74%,-8.78%,-8.78%
11/30/1993,66.07,--,561.82%,549.81%,7.64%,7.64%
10/29/1993,61.38,--,514.82%,503.67%,-2.46%,-2.46%
,,,,,,
9/30/1993,62.92,--,530.33%,518.89%,6.94%,6.94%
8/31/1993,58.84,--,489.44%,478.74%,9.72%,9.72%
7/30/1993,53.63,--,437.22%,427.47%,4.25%,4.25%
,,,,,,
6/30/1993,51.44,--,415.30%,405.95%,-2.53%,-2.53%
5/31/1993,52.77,--,428.66%,419.07%,-4.27%,-4.27%
4/30/1993,55.13,--,452.23%,442.21%,-1.00%,-1.00%
,,,,,,
3/31/1993,55.68,--,457.81%,447.69%,-1.55%,-1.55%
2/26/1993,56.56,--,466.58%,456.30%,-0.74%,-0.74%
1/29/1993,56.98,--,470.79%,460.43%,-2.32%,-2.32%
,,,,,,
12/31/1992,58.33,--,484.36%,473.75%,-6.88%,-6.88%
11/30/1992,62.65,--,527.55%,516.16%,3.60%,3.60%
