BCOMGCTR Index Settings Total Return Analysis,,,,,,
Range01/31/1975 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 575 Month Holding Period Chart,,,,,,
Bloomberg Gold Subindex Total Return Max Cuml Total Return 847.1100% On 07/31/2020,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
4/30/1997,90.78,--,84.82%,82.11%,-3.20%,-3.20%
,,,,,,
3/31/1997,93.77,--,90.93%,88.12%,-3.22%,-3.22%
2/28/1997,96.9,--,97.29%,94.39%,5.93%,5.93%
1/31/1997,91.47,--,86.24%,83.50%,-6.34%,-6.34%
,,,,,,
12/31/1996,97.66,--,98.84%,95.92%,-0.69%,-0.69%
11/29/1996,98.34,--,100.22%,97.28%,-1.59%,-1.59%
10/31/1996,99.93,--,103.46%,100.47%,0.06%,0.06%
,,,,,,
9/30/1996,99.87,--,103.34%,100.35%,-2.33%,-2.33%
8/30/1996,102.25,--,108.19%,105.13%,-0.03%,-0.03%
7/31/1996,102.29,--,108.26%,105.20%,2.09%,2.09%
,,,,,,
6/28/1996,100.19,--,104.00%,101.00%,-2.86%,-2.86%
5/31/1996,103.14,--,110.00%,106.91%,-0.02%,-0.02%
4/30/1996,103.16,--,110.03%,106.94%,-0.79%,-0.79%
,,,,,,
3/29/1996,103.98,--,111.71%,108.60%,-1.02%,-1.02%
2/29/1996,105.05,--,113.90%,110.75%,-1.40%,-1.40%
1/31/1996,106.54,--,116.93%,113.74%,5.25%,5.25%
,,,,,,
12/29/1995,101.23,--,106.12%,103.08%,0.30%,0.30%
11/30/1995,100.93,--,105.50%,102.48%,1.13%,1.13%
10/31/1995,99.81,--,103.21%,100.22%,-0.10%,-0.10%
,,,,,,
9/29/1995,99.9,--,103.41%,100.42%,0.33%,0.33%
8/31/1995,99.58,--,102.75%,99.76%,0.08%,0.08%
7/31/1995,99.5,--,102.58%,99.60%,-0.47%,-0.47%
,,,,,,
6/30/1995,99.97,--,103.54%,100.55%,-0.05%,-0.05%
5/31/1995,100.02,--,103.65%,100.66%,-0.55%,-0.55%
4/28/1995,100.57,--,104.78%,101.76%,-1.03%,-1.03%
,,,,,,
3/31/1995,101.62,--,106.91%,103.87%,3.95%,3.95%
2/28/1995,97.77,--,99.06%,96.13%,0.61%,0.61%
1/31/1995,97.17,--,97.85%,94.94%,-2.21%,-2.21%
,,,,,,
12/30/1994,99.36,--,102.31%,99.33%,0.45%,0.45%
11/30/1994,98.92,--,101.41%,98.44%,-0.62%,-0.62%
10/31/1994,99.54,--,102.67%,99.69%,-2.79%,-2.79%
,,,,,,
9/30/1994,102.39,--,108.48%,105.41%,2.13%,2.13%
8/31/1994,100.26,--,104.13%,101.12%,0.82%,0.82%
7/29/1994,99.44,--,102.46%,99.49%,-0.77%,-0.77%
,,,,,,
6/30/1994,100.21,--,104.03%,101.03%,-0.35%,-0.35%
5/31/1994,100.56,--,104.75%,101.73%,2.84%,2.84%
4/29/1994,97.78,--,99.09%,96.16%,-3.90%,-3.90%
,,,,,,
3/31/1994,101.75,--,107.17%,104.13%,2.79%,2.79%
2/28/1994,98.99,--,101.55%,98.58%,-0.04%,-0.04%
1/31/1994,99.03,--,101.62%,98.66%,-2.54%,-2.54%
,,,,,,
12/31/1993,101.61,--,106.88%,103.83%,5.85%,5.85%
11/30/1993,95.99,--,95.45%,92.58%,0.37%,0.37%
10/29/1993,95.64,--,94.74%,91.87%,3.75%,3.75%
,,,,,,
9/30/1993,92.19,--,87.70%,84.94%,-4.71%,-4.71%
8/31/1993,96.75,--,96.98%,94.09%,-8.41%,-8.41%
7/30/1993,105.63,--,115.07%,111.90%,7.60%,7.60%
,,,,,,
