BCOMBOTR Index Settings Total Return Analysis,,,,,,
Range01/29/1960 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 755 Month Holding Period Chart,,,,,,
Bloomberg Soybean Oil Subindex Total Return Max Cuml Total Return 18163.2338% On 02/29/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
3/31/2015,83.17,--,5621.84%,5610.45%,-7.77%,-7.77%
2/27/2015,90.18,--,6103.72%,6091.36%,9.12%,9.12%
1/30/2015,82.64,--,5585.17%,5573.85%,-6.66%,-6.66%
,,,,,,
12/31/2014,88.53,--,5990.57%,5978.44%,-1.14%,-1.14%
11/28/2014,89.55,--,6060.57%,6048.30%,-7.79%,-7.79%
10/31/2014,97.12,--,6581.31%,6568.01%,7.29%,7.29%
,,,,,,
9/30/2014,90.52,--,6127.42%,6115.02%,0.72%,0.72%
8/29/2014,89.88,--,6083.06%,6070.75%,-11.70%,-11.70%
7/31/2014,101.79,--,6902.44%,6888.49%,-7.02%,-7.02%
,,,,,,
6/30/2014,109.47,--,7431.27%,7416.27%,1.08%,1.08%
5/30/2014,108.31,--,7350.98%,7336.14%,-8.57%,-8.57%
4/30/2014,118.46,--,8049.46%,8033.24%,3.70%,3.70%
,,,,,,
3/31/2014,114.23,--,7758.52%,7742.88%,-3.27%,-3.27%
2/28/2014,118.1,--,8024.53%,8008.36%,10.15%,10.15%
1/31/2014,107.22,--,7276.01%,7261.33%,-3.80%,-3.80%
,,,,,,
12/31/2013,111.46,--,7567.68%,7552.41%,-4.21%,-4.21%
11/29/2013,116.36,--,7904.63%,7888.69%,-2.81%,-2.81%
10/31/2013,119.71,--,8135.66%,8119.27%,0.50%,0.50%
,,,,,,
9/30/2013,119.11,--,8094.33%,8078.02%,-7.20%,-7.20%
8/30/2013,128.36,--,8730.17%,8712.59%,3.73%,3.73%
7/31/2013,123.74,--,8412.86%,8395.91%,-5.36%,-5.36%
,,,,,,
6/28/2013,130.75,--,8894.96%,8877.05%,-5.36%,-5.36%
5/31/2013,138.16,--,9404.46%,9385.53%,-1.70%,-1.70%
4/30/2013,140.55,--,9569.10%,9549.85%,-2.21%,-2.21%
,,,,,,
3/29/2013,143.72,--,9787.49%,9767.80%,2.02%,2.02%
2/28/2013,140.87,--,9591.40%,9572.10%,-7.84%,-7.84%
1/31/2013,152.85,--,10415.31%,10394.38%,6.36%,6.36%
,,,,,,
12/31/2012,143.7,--,9786.08%,9766.40%,-1.04%,-1.04%
11/30/2012,145.21,--,9889.57%,9869.68%,-1.55%,-1.55%
10/31/2012,147.5,--,10047.35%,10027.14%,-4.70%,-4.70%
,,,,,,
9/28/2012,154.78,--,10548.23%,10527.03%,-7.74%,-7.74%
8/31/2012,167.76,--,11441.06%,11418.08%,6.86%,6.86%
7/31/2012,156.99,--,10700.06%,10678.55%,0.65%,0.65%
,,,,,,
6/29/2012,155.98,--,10630.41%,10609.04%,5.76%,5.76%
5/31/2012,147.48,--,10045.98%,10025.77%,-10.62%,-10.62%
4/30/2012,165,--,11251.47%,11228.86%,-0.74%,-0.74%
,,,,,,
3/30/2012,166.24,--,11336.23%,11313.46%,1.16%,1.16%
2/29/2012,164.32,--,11204.60%,11182.09%,6.30%,6.30%
1/31/2012,154.59,--,10534.70%,10513.53%,-2.95%,-2.95%
,,,,,,
12/30/2011,159.29,--,10858.51%,10836.69%,5.05%,5.05%
11/30/2011,151.64,--,10331.87%,10311.10%,-3.75%,-3.75%
10/31/2011,157.55,--,10738.50%,10716.92%,1.86%,1.86%
,,,,,,
9/30/2011,154.67,--,10540.79%,10519.60%,-15.00%,-15.00%
8/31/2011,181.97,--,12418.28%,12393.35%,4.68%,4.68%
7/29/2011,173.83,--,11858.24%,11834.43%,0.50%,0.50%
,,,,,,
6/30/2011,172.96,--,11798.62%,11774.93%,-6.25%,-6.25%
5/31/2011,184.5,--,12592.47%,12567.20%,-0.15%,-0.15%
4/29/2011,184.77,--,12611.52%,12586.21%,-1.39%,-1.39%
,,,,,,
3/31/2011,187.38,--,12790.83%,12765.16%,2.54%,2.54%
