BCOMLHTR Index Settings Total Return Analysis,,,,,,
Range01/30/1987 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 431 Month Holding Period Chart,,,,,,
Bloomberg Lean Hogs Subindex Total Return Max Cuml Total Return 248.9211% On 10/29/1993,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
9/30/2010,22.1,--,-50.94%,-48.71%,2.61%,2.61%
8/31/2010,21.54,--,-52.19%,-50.01%,-4.89%,-4.89%
7/30/2010,22.64,--,-49.73%,-47.44%,3.60%,3.60%
,,,,,,
6/30/2010,21.86,--,-51.48%,-49.27%,-3.08%,-3.08%
5/31/2010,22.55,--,-49.94%,-47.66%,-4.76%,-4.76%
4/30/2010,23.68,--,-47.44%,-45.05%,4.15%,4.15%
,,,,,,
3/31/2010,22.73,--,-49.53%,-47.24%,2.08%,2.08%
2/26/2010,22.27,--,-50.56%,-48.31%,6.13%,6.13%
1/29/2010,20.98,--,-53.42%,-51.29%,-1.70%,-1.70%
,,,,,,
12/31/2009,21.35,--,-52.61%,-50.45%,-1.90%,-1.90%
11/30/2009,21.76,--,-51.69%,-49.49%,4.18%,4.18%
10/30/2009,20.89,--,-53.63%,-51.52%,14.33%,14.33%
,,,,,,
9/30/2009,18.27,--,-59.44%,-57.59%,7.24%,7.24%
8/31/2009,17.04,--,-62.18%,-60.45%,-10.65%,-10.65%
7/31/2009,19.07,--,-57.67%,-55.74%,-4.18%,-4.18%
,,,,,,
6/30/2009,19.9,--,-55.82%,-53.81%,-9.88%,-9.88%
5/29/2009,22.08,--,-50.98%,-48.75%,-1.32%,-1.32%
4/30/2009,22.38,--,-50.32%,-48.06%,-10.86%,-10.86%
,,,,,,
3/31/2009,25.11,--,-44.27%,-41.73%,0.44%,0.44%
2/27/2009,25,--,-44.51%,-41.98%,-3.27%,-3.27%
1/30/2009,25.84,--,-42.63%,-40.02%,-6.16%,-6.16%
,,,,,,
12/31/2008,27.54,--,-38.87%,-36.08%,-9.17%,-9.17%
11/28/2008,30.32,--,-32.69%,-29.63%,8.02%,8.02%
10/31/2008,28.07,--,-37.69%,-34.85%,-14.58%,-14.58%
,,,,,,
9/30/2008,32.86,--,-27.05%,-23.73%,-4.39%,-4.39%
8/29/2008,34.37,--,-23.71%,-20.23%,-7.84%,-7.84%
7/31/2008,37.29,--,-17.22%,-13.45%,9.54%,9.54%
,,,,,,
6/30/2008,34.04,--,-24.43%,-20.99%,-11.02%,-11.02%
5/30/2008,38.26,--,-15.07%,-11.20%,6.69%,6.69%
4/30/2008,35.86,--,-20.39%,-16.76%,8.25%,8.25%
,,,,,,
3/31/2008,33.13,--,-26.46%,-23.11%,-11.48%,-11.48%
2/29/2008,37.43,--,-16.92%,-13.13%,-9.62%,-9.62%
1/31/2008,41.41,--,-8.07%,-3.89%,2.36%,2.36%
,,,,,,
12/31/2007,40.45,--,-10.19%,-6.10%,-6.85%,-6.85%
11/30/2007,43.43,--,-3.59%,0.81%,2.02%,2.02%
10/31/2007,42.57,--,-5.50%,-1.19%,-13.14%,-13.14%
,,,,,,
