BCOMHOTR Index Settings Total Return Analysis,,,,,,
Range01/30/1987 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 431 Month Holding Period Chart,,,,,,
Bloomberg Heating Oil Subindex Total Return Max Cuml Total Return 2285.4834% On 06/30/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
10/31/2000,187.1,--,408.13%,389.62%,1.60%,1.60%
,,,,,,
9/29/2000,184.16,--,400.13%,381.92%,-4.85%,-4.85%
8/31/2000,193.54,--,425.61%,406.46%,29.81%,29.81%
7/31/2000,149.1,--,304.91%,290.16%,-8.80%,-8.80%
,,,,,,
6/30/2000,163.48,--,343.98%,327.81%,15.23%,15.23%
5/31/2000,141.87,--,285.29%,271.26%,11.21%,11.21%
4/28/2000,127.57,--,246.45%,233.83%,1.11%,1.11%
,,,,,,
3/31/2000,126.17,--,242.65%,230.17%,-4.24%,-4.24%
2/29/2000,131.76,--,257.84%,244.80%,6.66%,6.66%
1/31/2000,123.54,--,235.49%,223.27%,14.09%,14.09%
,,,,,,
12/31/1999,108.28,--,194.06%,183.35%,5.53%,5.53%
11/30/1999,102.61,--,178.66%,168.51%,9.91%,9.91%
10/29/1999,93.36,--,153.54%,144.31%,-7.82%,-7.82%
,,,,,,
9/30/1999,101.28,--,175.05%,165.03%,6.09%,6.09%
8/31/1999,95.46,--,159.25%,149.81%,10.82%,10.82%
7/30/1999,86.14,--,133.95%,125.43%,4.96%,4.96%
,,,,,,
6/30/1999,82.07,--,122.89%,114.78%,22.16%,22.16%
5/31/1999,67.19,--,82.46%,75.81%,-13.28%,-13.28%
4/30/1999,77.47,--,110.40%,102.74%,2.67%,2.67%
,,,,,,
3/31/1999,75.46,--,104.92%,97.46%,34.41%,34.41%
2/26/1999,56.14,--,52.46%,46.91%,-5.49%,-5.49%
1/29/1999,59.4,--,61.32%,55.44%,-3.29%,-3.29%
,,,,,,
12/31/1998,61.42,--,66.81%,60.73%,2.14%,2.14%
11/30/1998,60.14,--,63.32%,57.37%,-21.35%,-21.35%
10/30/1998,76.46,--,107.65%,100.08%,-11.25%,-11.25%
,,,,,,
9/30/1998,86.15,--,133.97%,125.45%,18.24%,18.24%
8/31/1998,72.86,--,97.88%,90.67%,-7.69%,-7.69%
7/31/1998,78.94,--,114.37%,106.56%,-8.69%,-8.69%
,,,,,,
6/30/1998,86.45,--,134.77%,126.22%,-6.38%,-6.38%
5/29/1998,92.34,--,150.78%,141.64%,-9.94%,-9.94%
4/30/1998,102.53,--,178.46%,168.32%,0.04%,0.04%
,,,,,,
3/31/1998,102.49,--,178.34%,168.21%,-0.89%,-0.89%
2/27/1998,103.42,--,180.85%,170.62%,-10.33%,-10.33%
1/30/1998,115.34,--,213.22%,201.81%,-3.12%,-3.12%
,,,,,,
12/31/1997,119.05,--,223.32%,211.54%,-7.80%,-7.80%
11/28/1997,129.12,--,250.66%,237.89%,-9.69%,-9.69%
10/31/1997,142.97,--,288.28%,274.14%,-0.89%,-0.89%
,,,,,,
9/30/1997,144.26,--,291.76%,277.49%,8.68%,8.68%
8/29/1997,132.74,--,260.48%,247.35%,-5.82%,-5.82%
7/31/1997,140.94,--,282.76%,268.82%,3.74%,3.74%
,,,,,,
6/30/1997,135.86,--,268.96%,255.52%,-5.13%,-5.13%
5/30/1997,143.2,--,288.90%,274.74%,2.45%,2.45%
4/30/1997,139.78,--,279.62%,265.79%,1.50%,1.50%
,,,,,,
3/31/1997,137.72,--,274.02%,260.40%,3.16%,3.16%
2/28/1997,133.51,--,262.58%,249.37%,-14.65%,-14.65%
1/31/1997,156.42,--,324.81%,309.33%,-4.62%,-4.62%
,,,,,,
12/31/1996,164,--,345.39%,329.17%,1.34%,1.34%
11/29/1996,161.83,--,339.50%,323.50%,8.88%,8.88%
10/31/1996,148.63,--,303.64%,288.94%,-2.31%,-2.31%
,,,,,,
9/30/1996,152.15,--,313.20%,298.15%,12.67%,12.67%
8/30/1996,135.04,--,266.73%,253.37%,10.90%,10.90%
7/31/1996,121.77,--,230.69%,218.65%,5.13%,5.13%
,,,,,,
6/28/1996,115.83,--,214.57%,203.11%,4.60%,4.60%
5/31/1996,110.74,--,200.74%,189.79%,-3.66%,-3.66%
4/30/1996,114.95,--,212.16%,200.79%,7.90%,7.90%
,,,,,,
3/29/1996,106.53,--,189.30%,178.76%,12.29%,12.29%
2/29/1996,94.87,--,157.64%,148.25%,10.49%,10.49%
1/31/1996,85.86,--,133.17%,124.67%,-6.47%,-6.47%
,,,,,,
12/29/1995,91.8,--,149.30%,140.22%,15.13%,15.13%
11/30/1995,79.73,--,116.54%,108.65%,2.38%,2.38%
10/31/1995,77.88,--,111.50%,103.79%,2.18%,2.18%
,,,,,,
9/29/1995,76.22,--,106.98%,99.44%,-3.73%,-3.73%
8/31/1995,79.17,--,115.00%,107.17%,3.19%,3.19%
7/31/1995,76.72,--,108.36%,100.77%,2.88%,2.88%
,,,,,,
6/30/1995,74.57,--,102.52%,95.15%,-5.67%,-5.67%
5/31/1995,79.05,--,114.69%,106.87%,-2.65%,-2.65%
4/28/1995,81.21,--,120.53%,112.50%,6.45%,6.45%
,,,,,,
3/31/1995,76.28,--,107.17%,99.62%,0.99%,0.99%
2/28/1995,75.54,--,105.15%,97.67%,0.70%,0.70%
1/31/1995,75.01,--,103.71%,96.29%,-6.50%,-6.50%
,,,,,,
12/30/1994,80.22,--,117.87%,109.94%,2.44%,2.44%
11/30/1994,78.31,--,112.67%,104.93%,-0.46%,-0.46%
10/31/1994,78.68,--,113.66%,105.88%,-5.68%,-5.68%
,,,,,,
9/30/1994,83.41,--,126.53%,118.28%,2.79%,2.79%
8/31/1994,81.15,--,120.38%,112.35%,-9.29%,-9.29%
7/29/1994,89.46,--,142.95%,134.10%,4.32%,4.32%
,,,,,,
6/30/1994,85.75,--,132.89%,124.40%,0.45%,0.45%
5/31/1994,85.37,--,131.85%,123.41%,4.68%,4.68%
4/29/1994,81.56,--,121.50%,113.43%,7.71%,7.71%
,,,,,,
3/31/1994,75.72,--,105.64%,98.15%,2.47%,2.47%
2/28/1994,73.9,--,100.69%,93.38%,-1.72%,-1.72%
1/31/1994,75.19,--,104.21%,96.77%,11.51%,11.51%
,,,,,,
12/31/1993,67.43,--,83.13%,76.46%,-9.99%,-9.99%
11/30/1993,74.92,--,103.45%,96.04%,-8.23%,-8.23%
10/29/1993,81.64,--,121.71%,113.63%,-10.37%,-10.37%
,,,,,,
9/30/1993,91.08,--,147.36%,138.35%,4.69%,4.69%
8/31/1993,87,--,136.28%,127.68%,3.15%,3.15%
7/30/1993,84.34,--,129.06%,120.71%,-4.70%,-4.70%
,,,,,,
6/30/1993,88.5,--,140.35%,131.59%,-4.89%,-4.89%
5/31/1993,93.05,--,152.71%,143.51%,-3.23%,-3.23%
4/30/1993,96.16,--,161.16%,151.64%,0.61%,0.61%
,,,,,,
3/31/1993,95.58,--,159.57%,150.11%,-1.74%,-1.74%
2/26/1993,97.27,--,164.17%,154.55%,3.33%,3.33%
1/29/1993,94.14,--,155.66%,146.35%,-0.33%,-0.33%
,,,,,,
12/31/1992,94.46,--,156.52%,147.18%,-0.33%,-0.33%
11/30/1992,94.77,--,157.38%,148.00%,-6.62%,-6.62%
10/30/1992,101.49,--,175.62%,165.59%,-5.57%,-5.57%
,,,,,,
9/30/1992,107.48,--,191.89%,181.26%,3.04%,3.04%
8/31/1992,104.31,--,183.29%,172.97%,-2.26%,-2.26%
7/31/1992,106.73,--,189.85%,179.29%,0.14%,0.14%
