BCOMNITR Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Nickel Subindex Total Return Max Cuml Total Return 1015.6920% On 04/30/2007,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
6/30/2006,415.22,--,300.51%,315.22%,-3.01%,-3.01%
5/31/2006,428.09,--,312.93%,328.09%,16.63%,16.63%
4/28/2006,367.06,--,254.06%,267.06%,26.97%,26.97%
,,,,,,
3/31/2006,289.09,--,178.84%,189.09%,2.27%,2.27%
2/28/2006,282.66,--,172.65%,182.66%,-1.79%,-1.79%
1/31/2006,287.82,--,177.63%,187.82%,12.84%,12.84%
,,,,,,
12/30/2005,255.08,--,146.04%,155.08%,5.18%,5.18%
11/30/2005,242.52,--,133.93%,142.52%,7.00%,7.00%
10/31/2005,226.66,--,118.63%,126.66%,-10.68%,-10.68%
,,,,,,
9/30/2005,253.77,--,144.78%,153.77%,-8.84%,-8.84%
8/31/2005,278.36,--,168.50%,178.36%,5.25%,5.25%
7/29/2005,264.49,--,155.12%,164.49%,-1.52%,-1.52%
,,,,,,
6/30/2005,268.58,--,159.06%,168.58%,-10.31%,-10.31%
5/31/2005,299.44,--,188.83%,199.44%,4.41%,4.41%
4/29/2005,286.8,--,176.64%,186.80%,-0.23%,-0.23%
,,,,,,
3/31/2005,287.46,--,177.28%,187.46%,-0.81%,-0.81%
2/28/2005,289.8,--,179.53%,189.80%,12.61%,12.61%
1/31/2005,257.34,--,148.23%,157.34%,-4.26%,-4.26%
,,,,,,
12/31/2004,268.79,--,159.27%,168.79%,7.09%,7.09%
11/30/2004,251,--,142.11%,151.00%,3.11%,3.11%
10/29/2004,243.44,--,134.82%,143.44%,-16.11%,-16.11%
,,,,,,
9/30/2004,290.21,--,179.92%,190.21%,33.53%,33.53%
8/31/2004,217.34,--,109.64%,117.34%,-9.32%,-9.32%
7/30/2004,239.66,--,131.17%,139.66%,-9.12%,-9.12%
,,,,,,
6/30/2004,263.71,--,154.36%,163.71%,25.77%,25.77%
5/31/2004,209.67,--,102.24%,109.67%,9.63%,9.63%
4/30/2004,191.25,--,84.47%,91.25%,-20.47%,-20.47%
,,,,,,
3/31/2004,240.48,--,131.96%,140.48%,-3.32%,-3.32%
2/27/2004,248.74,--,139.93%,148.74%,-5.08%,-5.08%
1/30/2004,262.05,--,152.77%,162.05%,-6.66%,-6.66%
,,,,,,
12/31/2003,280.76,--,170.81%,180.76%,37.78%,37.78%
11/28/2003,203.78,--,96.56%,103.78%,1.24%,1.24%
10/31/2003,201.29,--,94.16%,101.29%,18.42%,18.42%
,,,,,,
9/30/2003,169.97,--,63.95%,69.97%,7.85%,7.85%
8/29/2003,157.6,--,52.02%,57.61%,1.50%,1.50%
7/31/2003,155.28,--,49.78%,55.28%,13.23%,13.23%
,,,,,,
6/30/2003,137.14,--,32.28%,37.14%,-7.41%,-7.41%
5/30/2003,148.11,--,42.86%,48.11%,11.03%,11.03%
4/30/2003,133.39,--,28.67%,33.39%,3.25%,3.25%
,,,,,,
3/31/2003,129.19,--,24.61%,29.19%,-10.86%,-10.86%
2/28/2003,144.93,--,39.80%,44.93%,6.88%,6.88%
1/31/2003,135.6,--,30.80%,35.60%,15.15%,15.15%
,,,,,,
12/31/2002,117.76,--,13.59%,17.76%,-5.04%,-5.04%
11/29/2002,124.01,--,19.62%,24.01%,0.95%,0.95%
10/31/2002,122.85,--,18.50%,22.85%,17.65%,17.65%
,,,,,,
9/30/2002,104.42,--,0.72%,4.42%,-3.83%,-3.83%
8/30/2002,108.58,--,4.73%,8.58%,1.74%,1.74%
7/31/2002,106.72,--,2.94%,6.72%,-8.26%,-8.26%
,,,,,,
6/28/2002,116.33,--,12.21%,16.33%,3.79%,3.79%
5/31/2002,112.08,--,8.11%,12.08%,-1.77%,-1.77%
4/30/2002,114.1,--,10.06%,14.10%,5.60%,5.60%
,,,,,,
3/29/2002,108.05,--,4.23%,8.05%,11.56%,11.56%
2/28/2002,96.85,--,-6.58%,-3.15%,2.80%,2.80%
1/31/2002,94.21,--,-9.13%,-5.79%,5.85%,5.85%
,,,,,,
